32.578,-60.000,10.333,-32.796,6.769,-0.000,-10.381,13.668,-105.315,54.152,-0.063,-0.000
28.547,-60.000,11.195,-29.703,6.700,0.001,-10.962,12.461,-105.647,42.608,0.076,0.000
-2.768,-39.430,-19.228,-15.206,6.926,-0.026,-13.702,0.223,-49.048,-12.133,0.267,-0.024
-4.824,-44.774,-6.954,-9.388,6.571,-0.007,-16.986,-2.247,-31.897,-74.537,0.685,-0.019
-10.432,-5.360,-16.128,-15.912,5.792,0.092,-11.928,-6.181,21.908,-99.989,1.694,-0.003
-2.561,36.980,-29.199,-4.693,5.225,-0.053,-16.747,19.466,43.747,-58.887,2.344,-0.026
2.910,56.007,-31.849,-18.517,4.652,-0.006,-10.129,27.223,21.330,-85.494,-0.702,-0.031
4.553,30.645,-9.596,-23.574,3.872,-0.094,-11.040,18.779,16.272,-27.299,3.042,0.122
1.564,5.120,2.043,-21.914,3.423,-0.018,-12.043,-4.013,20.084,-30.776,4.807,0.081
3.749,-5.733,-13.425,-30.987,3.286,0.167,-11.585,-6.217,23.793,-48.923,2.063,0.009
6.154,-16.646,-12.761,-40.063,3.339,-0.021,-10.855,-12.358,17.902,-30.589,3.941,-0.085
4.021,-12.715,-13.636,-51.434,3.124,-0.003,-18.856,-6.466,17.307,-36.728,3.919,0.243
5.965,4.382,-22.037,-52.510,2.842,0.015,-13.691,2.193,21.081,-41.575,3.300,-0.184
6.294,13.925,-18.935,-44.819,2.541,0.030,-19.505,8.191,19.815,-43.153,3.659,0.120
6.507,16.869,-17.222,-33.323,2.124,0.050,-26.336,9.775,18.862,-46.142,3.851,-0.001
7.093,10.888,-24.050,-8.359,1.688,-0.050,-25.441,6.856,18.364,-52.577,3.633,-0.058
9.692,-1.849,-35.156,20.856,1.169,-0.013,-33.155,-10.003,18.944,-54.284,3.625,-0.047
17.788,-9.235,-36.980,28.839,0.423,-0.012,-27.742,-15.639,13.376,-49.164,4.069,0.003
22.074,-9.388,-24.126,7.592,0.094,-0.006,-16.027,-7.405,5.541,-44.569,4.081,0.005
17.213,-2.587,-4.445,-32.542,0.423,0.018,-4.228,5.511,1.161,-43.649,3.927,0.017
11.616,0.389,3.577,-69.954,1.540,0.034,1.365,8.571,4.726,-30.652,3.635,-0.019
2.168,0.320,-2.952,-50.354,2.511,0.059,-0.574,-0.250,9.815,-23.838,3.294,0.035
-1.185,-1.370,-6.683,-33.630,2.743,0.066,-9.543,-0.151,15.440,-31.891,2.862,0.041
